"Model","SSP","Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Variant","Year","period","model_ssp"
"ACCESS-CM2","ssp245",1045.01506317609,10.9790511431502,0,0,0,NA,"Hist(1992-2021)",2006,NA
"ACCESS-CM2","ssp370",1072.20506144692,10.9685665477566,0,0,0,NA,"Hist(1992-2021)",2006,NA
"ACCESS-CM2","ssp585",1045.11824384693,11.0356021931302,0,0,0,NA,"Hist(1992-2021)",2006,NA
"CESM2-LENS","ssp370",1049.70001385572,10.9933776821954,0,0,0,NA,"Hist(1992-2021)",2006,NA
"EC-EARTH3","ssp245",1088.59502288409,10.8130708989468,0,0,0,NA,"Hist(1992-2021)",2006,NA
"EC-EARTH3","ssp370",1058.30266390247,10.8213226704652,0,0,0,NA,"Hist(1992-2021)",2006,NA
"EC-EARTH3","ssp585",1115.77623433302,10.7500899479727,0,0,0,NA,"Hist(1992-2021)",2006,NA
"EC-EARTH3-VEG","ssp245",1073.36914031344,11.1063953086111,0,0,0,NA,"Hist(1992-2021)",2006,NA
"EC-EARTH3-VEG","ssp370",1078.82394810773,10.9874667326405,0,0,0,NA,"Hist(1992-2021)",2006,NA
"EC-EARTH3-VEG","ssp585",1065.41842644725,11.0570841578555,0,0,0,NA,"Hist(1992-2021)",2006,NA
"FGOALS-G3","ssp245",1091.69893847957,10.8154291242089,0,0,0,NA,"Hist(1992-2021)",2006,NA
"FGOALS-G3","ssp370",1021.74922240907,10.9232101360165,0,0,0,NA,"Hist(1992-2021)",2006,NA
"FGOALS-G3","ssp585",1088.49548344068,10.914386374369,0,0,0,NA,"Hist(1992-2021)",2006,NA
"INM-CM5-0","ssp370",1060.68328669579,10.7628099516816,0,0,0,NA,"Hist(1992-2021)",2006,NA
"IPSL-CM6A-LR","ssp245",1068.60322117857,10.9986085797997,0,0,0,NA,"Hist(1992-2021)",2006,NA
"IPSL-CM6A-LR","ssp370",1063.20574293622,10.9875523086474,0,0,0,NA,"Hist(1992-2021)",2006,NA
"IPSL-CM6A-LR","ssp585",1069.7969335466,10.972691687565,0,0,0,NA,"Hist(1992-2021)",2006,NA
"KACE-1-0-G","ssp245",1065.60273982829,11.1838230404007,0,0,0,NA,"Hist(1992-2021)",2006,NA
"KACE-1-0-G","ssp370",1059.45361515331,11.1754715586584,0,0,0,NA,"Hist(1992-2021)",2006,NA
"KACE-1-0-G","ssp585",1078.77367796134,11.1532484251941,0,0,0,NA,"Hist(1992-2021)",2006,NA
"MIROC6","ssp245",1056.48730420257,10.9244886038361,0,0,0,NA,"Hist(1992-2021)",2006,NA
"MIROC6","ssp370",1047.34822860415,10.8611573318563,0,0,0,NA,"Hist(1992-2021)",2006,NA
"MIROC6","ssp585",1058.2331429136,10.8486929608127,0,0,0,NA,"Hist(1992-2021)",2006,NA
"MPI-ESM1-2-HR","ssp245",1063.33242651762,10.8665799958575,0,0,0,NA,"Hist(1992-2021)",2006,NA
"MPI-ESM1-2-HR","ssp370",1067.26012930024,10.8050378242422,0,0,0,NA,"Hist(1992-2021)",2006,NA
"MPI-ESM1-2-HR","ssp585",1051.82542364446,10.8344398501292,0,0,0,NA,"Hist(1992-2021)",2006,NA
"MRI-ESM2-0","ssp370",1042.97398073508,10.9453299791982,0,0,0,NA,"Hist(1992-2021)",2006,NA
"ACCESS-CM2","ssp245",1035.8412721776,11.0444860834947,-0.877862082735487,0.222132470625449,0.0654349403445309,NA,"Fut(1993-2022)",2007,NA
"ACCESS-CM2","ssp370",1056.22902967208,11.0294054034292,-1.49001644827968,0.148979635112574,0.0608388556725785,NA,"Fut(1993-2022)",2007,NA
"ACCESS-CM2","ssp585",1029.16931282699,11.1249582685767,-1.52604082014987,0.0929644669999242,0.0893560754465472,NA,"Fut(1993-2022)",2007,NA
"CESM2-LENS","ssp370",1047.53710505128,11.0511764102785,-0.206050183470011,0.0881129961342713,0.0577987280830499,NA,"Fut(1993-2022)",2007,NA
"EC-EARTH3","ssp245",1090.40033492007,10.8555190355673,0.165838718534882,0.064657463716381,0.042448136620461,NA,"Fut(1993-2022)",2007,NA
"EC-EARTH3","ssp370",1053.00224365667,10.8575013991349,-0.500841623723014,-0.0722609465304999,0.0361787286697002,NA,"Fut(1993-2022)",2007,NA
"EC-EARTH3","ssp585",1115.6867458845,10.7969885837353,-0.00802028630569717,-0.0943910805771299,0.0468986357625454,NA,"Fut(1993-2022)",2007,NA
"EC-EARTH3-VEG","ssp245",1079.04160277266,11.1524162941552,0.528472661097823,0.0226439766910566,0.0460209855440183,NA,"Fut(1993-2022)",2007,NA
"EC-EARTH3-VEG","ssp370",1092.4210282675,11.0287949887087,1.26036135771938,0.0107714116928116,0.0413282560681463,NA,"Fut(1993-2022)",2007,NA
"EC-EARTH3-VEG","ssp585",1072.84290515315,11.1146304594603,0.696860362238648,0.00121349467399552,0.0575463016048232,NA,"Fut(1993-2022)",2007,NA
"FGOALS-G3","ssp245",1089.91745423249,10.8732317962238,-0.163184572622129,-0.00405689208807625,0.0578026720149118,NA,"Fut(1993-2022)",2007,NA
"FGOALS-G3","ssp370",1016.93275727131,10.9637728306023,-0.471394059532908,0.115059686143395,0.0405626945858391,NA,"Fut(1993-2022)",2007,NA
"FGOALS-G3","ssp585",1079.09972027624,10.9789637298908,-0.863188070816945,0.173663692354478,0.064577355521843,NA,"Fut(1993-2022)",2007,NA
"INM-CM5-0","ssp370",1062.10247428713,10.8058219393173,0.133799373398458,0.00617011308877354,0.0430119876357136,NA,"Fut(1993-2022)",2007,NA
"IPSL-CM6A-LR","ssp245",1073.20984771058,11.0204412242537,0.431088587485776,0.0145458964867334,0.0218326444540224,NA,"Fut(1993-2022)",2007,NA
"IPSL-CM6A-LR","ssp370",1065.31138016101,11.0098213322847,0.198046073281475,0.0607549940483412,0.0222690236373957,NA,"Fut(1993-2022)",2007,NA
"IPSL-CM6A-LR","ssp585",1069.09976913761,11.0206577286224,-0.0651679199232609,0.0153637144242214,0.0479660410574017,NA,"Fut(1993-2022)",2007,NA
"KACE-1-0-G","ssp245",1062.84018354707,11.2488874415188,-0.259248233696095,0.0955027860723239,0.0650644011181551,NA,"Fut(1993-2022)",2007,NA
"KACE-1-0-G","ssp370",1054.66500844494,11.2444196397742,-0.451988330576937,0.0597775072927193,0.0689480811158401,NA,"Fut(1993-2022)",2007,NA
"KACE-1-0-G","ssp585",1069.65560937189,11.2161363669821,-0.845225349461642,0.140146957029472,0.0628879417880199,NA,"Fut(1993-2022)",2007,NA
"MIROC6","ssp245",1059.75741131334,10.9795163396458,0.309526399206276,-0.0107764437625175,0.055027735809654,NA,"Fut(1993-2022)",2007,NA
"MIROC6","ssp370",1045.68637941593,10.8968345065908,-0.15867207704485,-0.00392587498463716,0.0356771747344915,NA,"Fut(1993-2022)",2007,NA
"MIROC6","ssp585",1057.08406337731,10.9072724749616,-0.108584723884778,0.000177170119977692,0.0585795141489207,NA,"Fut(1993-2022)",2007,NA
"MPI-ESM1-2-HR","ssp245",1070.11921801715,10.9068937482326,0.638256798182759,-0.0547152787530589,0.0403137523751731,NA,"Fut(1993-2022)",2007,NA
"MPI-ESM1-2-HR","ssp370",1067.1972996433,10.83459544527,-0.0058870049778438,-0.0158554491916683,0.0295576210277471,NA,"Fut(1993-2022)",2007,NA
"MPI-ESM1-2-HR","ssp585",1050.31042309131,10.8533135811628,-0.144035361675909,-0.0984706735999484,0.0188737310335529,NA,"Fut(1993-2022)",2007,NA
"MRI-ESM2-0","ssp370",1041.17328374785,11.0009416142297,-0.172650231020831,0.0946659199094974,0.0556116350314451,NA,"Fut(1993-2022)",2007,NA
"ACCESS-CM2","ssp245",1016.23872625289,11.1054299713077,-2.75367675904502,0.444264941250866,0.126378828157517,NA,"Fut(1994-2023)",2008,NA
